name,pos,adp,proj,surplus,there@5,there@20,there@29,there@44,there@53,there@77,there@92,there@101,there@116,there@125,there@140,there@149,there@164,there@173
Stefon Diggs,WR,111.0,135,-21,100,100,100,100,100,100,100,99,77,44,6,1,0,0
Bo Nix,QB,112.0,304,-8,100,100,100,100,100,100,97,84,38,15,2,0,0,0
Michael Pittman Jr.,WR,113.0,150,-6,100,100,100,100,100,100,100,99,76,39,1,0,0,0
KC Concepcion,WR,113.8,122,-34,100,100,100,100,100,100,100,100,84,57,14,2,0,0
Jalen Coker,WR,115.9,122,-34,100,100,100,100,100,100,100,100,97,88,47,17,0,0
Jaxson Dart,QB,117.0,318,6,100,100,100,100,100,99,92,76,35,17,4,1,0,0
Rashid Shaheed,WR,119.1,130,-26,100,100,100,100,100,100,100,99,92,76,36,14,0,0
Josh Downs,WR,122.0,139,-17,100,100,100,100,100,100,100,100,97,86,55,21,1,0
Rachaad White,RB,123.5,105,-59,100,100,100,100,100,100,100,99,88,70,35,15,1,0
Jerry Jeudy,WR,123.7,112,-44,100,100,100,100,100,100,100,100,99,95,77,52,7,0
Travis Kelce,TE,124.2,122,6,100,100,100,100,100,100,96,89,49,28,8,3,0,0
Jayden Reed,WR,125.0,140,-16,100,100,100,100,100,100,100,100,100,96,68,15,1,0
De'Zhaun Stribling,WR,125.5,110,-46,100,100,100,100,100,100,100,100,94,84,55,30,3,1
New England Defense,DEF,126.2,108,7,100,100,100,100,100,100,100,100,100,95,64,36,7,1
Jason Myers,K,126.5,142,12,100,100,100,100,100,100,100,100,100,91,38,11,1,0
MarShawn Lloyd,RB,128.9,98,-66,100,100,100,99,99,91,73,52,20,8,1,1,0,0
Philadelphia Defense,DEF,129.5,107,6,100,100,100,100,100,100,100,100,100,96,67,44,12,3
Mark Andrews,TE,130.1,116,0,100,100,100,100,100,100,97,90,58,37,14,6,1,0
Tre Tucker,WR,130.2,115,-41,100,100,100,100,100,100,100,100,100,99,92,82,35,10
Detroit Defense,DEF,131.9,106,5,100,100,100,100,100,100,100,100,100,98,85,67,28,9
Brandon Aubrey,K,131.9,155,25,100,100,100,100,100,100,100,100,100,94,57,27,5,0
Tyjae Spears,RB,132.3,95,-69,100,100,100,100,100,98,93,83,51,31,10,3,0,0
Keenan Allen,WR,132.5,110,-46,100,100,100,100,100,100,99,98,88,73,44,28,4,1
Makai Lemon,WR,133.0,114,-42,100,100,100,100,100,100,100,100,99,97,89,78,36,13
Jalen McMillan,WR,134.1,112,-44,100,100,100,100,100,100,100,100,100,100,99,96,71,38
Zach Charbonnet,RB,134.8,111,-53,100,100,100,100,100,100,100,99,95,89,73,48,7,1
Baker Mayfield,QB,135.3,308,-4,100,100,100,100,100,100,100,100,100,99,96,92,73,50
Kyler Murray,QB,136.0,312,0,100,100,100,100,100,100,100,100,99,98,93,87,62,41
Isaiah Likely,TE,136.1,118,2,100,100,100,100,100,100,100,97,81,67,39,24,6,2
Rashod Bateman,WR,137.4,110,-46,100,100,100,100,100,100,100,100,100,98,91,81,43,18
Denzel Boston,WR,138.7,108,-48,100,100,100,100,100,100,100,100,100,100,100,99,88,67
Pittsburgh Defense,DEF,138.8,104,3,100,100,100,100,100,100,100,100,100,99,89,77,44,28
Cameron Dicker,K,138.8,143,13,100,100,100,100,100,100,100,100,100,97,67,41,11,0
Tyler Shough,QB,139.3,250,-62,100,100,100,100,100,100,100,100,100,100,98,96,84,68
Jake Bates,K,139.4,140,10,100,100,100,100,100,100,100,100,100,99,83,63,27,1
Jake Ferguson,TE,140.7,114,-2,100,100,100,100,100,100,99,96,79,65,43,30,10,3
Woody Marks,RB,140.8,112,-52,100,100,100,100,100,100,100,100,98,94,63,35,1,0
Calvin Ridley,WR,141.0,118,-38,100,100,100,100,100,100,100,100,100,100,100,99,88,76
Jauan Jennings,WR,141.3,112,-44,100,100,100,100,100,100,100,100,100,100,100,100,97,88
Dalton Kincaid,TE,141.5,112,-4,100,100,100,100,100,100,99,98,86,75,50,35,14,6
Malik Washington,WR,142.6,105,-51,100,100,100,100,100,100,100,100,100,99,94,89,63,40
Cam Little,K,142.8,139,9,100,100,100,100,100,100,100,100,100,99,87,70,34,5
Ka'imi Fairbairn,K,143.5,137,7,100,100,100,100,100,100,100,100,100,98,84,65,30,11
LA Chargers Defense,DEF,145.1,100,-1,100,100,100,100,100,100,100,100,100,100,98,94,78,62
Sam Darnold,QB,145.6,245,-67,100,100,100,100,100,100,99,98,93,86,72,58,33,19
Chase McLaughlin,K,145.7,136,6,100,100,100,100,100,100,100,100,100,99,91,79,50,25
Harrison Mevis,K,146.4,135,5,100,100,100,100,100,100,100,100,100,99,92,81,50,28
Braelon Allen,RB,146.9,90,-74,100,100,100,100,99,95,86,74,45,30,13,6,1,0
Jonah Coleman,RB,148.1,80,-84,100,100,100,100,100,99,94,88,70,53,29,18,4,1
Brian Robinson,RB,149.3,84,-80,100,100,100,100,99,95,86,76,49,32,15,7,1,0
Jordan Love,QB,149.8,284,-28,100,100,100,100,100,100,100,100,100,99,98,97,90,82
Cooper Kupp,WR,150.6,98,-58,100,100,100,100,100,100,100,100,100,100,100,99,93,85
Tyler Loop,K,150.8,134,4,100,100,100,100,100,100,100,100,100,100,98,94,77,62
Chris Rodriguez Jr.,RB,151.4,95,-69,100,100,100,100,100,100,100,100,100,99,97,94,71,57
Tyrone Tracy Jr.,RB,151.6,85,-79,100,100,100,100,100,100,100,100,98,96,89,81,57,36
Tyler Allgeier,RB,153.6,92,-72,100,100,100,100,100,100,100,100,100,99,96,94,78,62
Juwan Johnson,TE,154.0,110,-6,100,100,100,100,100,100,100,100,96,92,85,77,57,44
Mike Washington Jr.,RB,154.9,95,-69,100,100,100,100,100,100,100,98,93,87,75,63,36,19
Malachi Fields,WR,155.5,88,-68,100,100,100,100,100,100,100,99,95,90,77,65,39,22
Dontayvion Wicks,WR,155.8,92,-64,100,100,100,100,100,100,100,100,100,100,100,99,96,90
Trey Smack,K,156.5,127,-3,100,100,100,100,100,100,100,100,100,100,99,98,92,85
Oronde Gadsden,TE,157.0,84,-32,100,100,100,100,100,100,100,99,94,88,76,69,45,31
Alvin Kamara,RB,157.6,88,-76,100,100,100,100,100,100,100,100,99,98,94,90,71,56
Will Reichard,K,158.2,132,2,100,100,100,100,100,100,100,100,100,99,96,91,74,63
Isiah Pacheco,RB,158.6,90,-74,100,100,100,100,100,100,100,100,99,98,94,91,75,59
Kayshon Boutte,WR,158.6,90,-66,100,100,100,100,100,100,100,100,100,100,100,100,97,92
Jordyn Tyson,WR,158.8,100,-56,100,100,100,100,100,100,100,100,100,100,100,100,98,95
Jacksonville Defense,DEF,159.2,101,0,100,100,100,100,100,100,100,100,100,100,100,98,95,91
Tank Bigsby,RB,159.8,85,-79,100,100,100,100,100,100,100,100,100,99,98,97,89,78
Ryan Flournoy,WR,159.8,88,-68,100,100,100,100,100,100,100,100,100,100,100,100,98,94
Adonai Mitchell,WR,159.9,92,-64,100,100,100,100,100,100,100,100,100,100,100,100,100,99
Ray Davis,RB,160.2,78,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100
C.J. Stroud,QB,160.4,281,-31,100,100,100,100,100,100,100,100,100,99,99,98,94,90
Tyler Bass,K,160.7,124,-6,100,100,100,100,100,100,100,100,100,98,84,66,36,25
Hunter Henry,TE,161.5,103,-13,100,100,100,100,100,100,100,100,100,100,100,99,96,93
Daniel Jones,QB,161.9,277,-35,100,100,100,100,100,100,100,100,100,100,100,99,98,96
Harrison Butker,K,162.2,130,0,100,100,100,100,100,100,100,100,100,100,98,95,84,76
Blake Grupe,K,162.5,124,-6,100,100,100,100,100,100,100,100,100,100,98,95,85,75
Atlanta Defense,DEF,162.6,97,-4,100,100,100,100,100,100,100,100,100,100,100,100,99,97
Brenton Strange,TE,162.8,104,-12,100,100,100,100,100,100,100,100,99,97,94,90,79,68
Troy Franklin,WR,163.0,95,-61,100,100,100,100,100,100,100,100,99,98,95,91,76,62
Tank Dell,WR,163.0,95,-61,100,100,100,100,100,100,100,100,100,100,99,98,95,88
Devaughn Vele,WR,163.1,85,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Travis Hunter,WR,163.6,107,-49,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Dylan Sampson,RB,163.7,82,-82,100,100,100,100,100,100,100,100,100,100,99,98,95,89
Jaylin Noel,WR,164.6,86,-70,100,100,100,100,100,100,100,100,100,100,100,100,99,97
Keaton Mitchell,RB,164.8,78,-86,100,100,100,100,100,100,100,100,100,100,98,96,90,79
Cleveland Defense,DEF,165.3,98,-3,100,100,100,100,100,100,100,100,100,100,100,100,99,99
Terrance Ferguson,TE,166.3,82,-34,100,100,100,100,100,100,100,100,100,100,100,99,98,95
Ja'Kobi Lane,WR,167.3,88,-68,100,100,100,100,100,100,100,100,100,100,99,98,94,88
Malik Willis,QB,167.4,240,-72,100,100,100,100,100,100,100,100,100,100,100,100,99,99
Chris Boswell,K,167.6,129,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Dalton Schultz,TE,167.7,95,-21,100,100,100,100,100,100,100,99,97,94,87,81,67,56
Buffalo Defense,DEF,167.8,102,1,100,100,100,100,100,100,100,100,100,100,100,100,99,98
Baltimore Defense,DEF,168.4,103,2,100,100,100,100,100,100,100,100,100,100,99,97,89,83
NY Giants Defense,DEF,168.5,94,-7,100,100,100,100,100,100,100,100,100,100,99,98,95,92
